product_id,product_no,product_owner,keyword,rank_product_position,rank_top1_product_position,rank_top1_product_id,is_ydt_product,is_window_product,is_p4p_keyword,is_selection_prodcut,keyword_company_count,keyword_window_products_count,keyword_pv_rank
60368767575,JDYB15005,Eva Zhu,leather card holder,,1.16,60368456644,FALSE,FALSE,FALSE,FALSE,836,61,420
60368767575,JDYB15005,Eva Zhu,genuine leather card holder,11.03,1.08,60370378707,FALSE,FALSE,FALSE,TRUE,243,16,16
60368767575,JDYB15005,Eva Zhu,card holder leather,,1.1,60368456644,FALSE,FALSE,TRUE,FALSE,192,2,120
60354316944,JDYB15014,Ivy Luo,magic wallet,1.12,1.12,60354316944,FALSE,FALSE,TRUE,FALSE,424,12,540
60354316944,JDYB15014,Ivy Luo,leather magic wallet,1.09,1.09,60354316944,FALSE,FALSE,,FALSE,,,
60361311944,JDYB14021,Amy Wei,wallet the,,1.25,60355262155,TRUE,FALSE,FALSE,FALSE,54,0,210
60361311944,JDYB14021,Amy Wei,the wallet,,1.25,60355262155,TRUE,FALSE,FALSE,FALSE,75,0,80
60361311944,JDYB14021,Amy Wei,couple wallet,1.03,1.03,60361311944,TRUE,FALSE,FALSE,TRUE,66,1,90
60330988550,JDYB15006,Eva Zhu,card wallet,,1.33,60370205214,FALSE,FALSE,TRUE,FALSE,590,13,270
60330988550,JDYB15006,Eva Zhu,credit card wallet,1.25,1.25,60330988550,FALSE,FALSE,TRUE,FALSE,486,11,150
60330988550,JDYB15006,Eva Zhu,slim credit card wallet,1.06,1.06,60330988550,FALSE,FALSE,,TRUE,,,
60373779907,JDHB15013,Bella Zhang,guangzhou handbag,1.16,1.16,60373779907,FALSE,FALSE,TRUE,FALSE,189,8,210
60373779907,JDHB15013,Bella Zhang,guangzhou handbag market,2.23,2.23,60373779907,FALSE,FALSE,TRUE,FALSE,181,2,180
60373779907,JDHB15013,Bella Zhang,guangzhou designer handbag,1.12,1.12,60373779907,FALSE,FALSE,TRUE,FALSE,126,0,28
60397234320,JDHB15090,Ivy Luo,leather bag,,1.17,60465007525,FALSE,FALSE,FALSE,FALSE,1341,120,9000
60397234320,JDHB15090,Ivy Luo,lady leather bag,,1.22,60468709718,FALSE,FALSE,FALSE,FALSE,382,12,180
60397234320,JDHB15090,Ivy Luo,handmade leather bag,1.16,1.16,60397234320,FALSE,FALSE,FALSE,FALSE,251,1,120
60345235889,JDMA15043,Amy Wei,military belt,9.06,1.09,60337888950,FALSE,FALSE,TRUE,TRUE,259,37,510
60345235889,JDMA15043,Amy Wei,military white belt,1.06,1.06,60345235889,FALSE,FALSE,,TRUE,,,
60345235889,JDMA15043,Amy Wei,military canvas belt,1.07,1.07,60345235889,FALSE,FALSE,FALSE,TRUE,124,4,25
